date;weekday;category;name;employees;students;type
2018-01-09;Tue;Tagessuppe;Fruchtige Möhrensuppe;;;2
2018-01-09;Tue;Tagessuppe;Erbsenpüreesuppe;;;1
2018-01-10;Wed;Hähnchen im Backteig auf gebratenen Mie Nudeln (Auch fleischlos möglich;2,80 €/ 4,55 €);5,15;3,4;0
2018-01-10;Wed;Angebote;Rinderragout mit Champignons und Mischpilzen an gebratenen Spätzle mit Gemüsestreifen, dazu Salat;4,4;2,65;0
2018-01-10;Wed;Angebote;Quinoa - Erbsen - Medaillon  auf fruchtiger Tomatensoße mit Schwenkkartoffeln, dazu Salat;4,4;2,65;2
2018-01-10;Wed;Pasta;Sojabolognese;;;2
2018-01-10;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-10;Wed;Pasta;Hausgemachte Pasta mit Thaipesto;;;2
2018-01-10;Wed;Ofenfrisch;Flammkuchen mit Schmand, Bauchspeck und Lauch;3,76;2,66;0
2018-01-10;Wed;Tagessuppe;Gemüse-Käsesuppe mit Bauchspeck;;;0
2018-01-10;Wed;Tagessuppe;Tomatensuppe;;;2
2018-01-11;Thu;Angebote;Paniertes Schweinekotelett mit mediterranem Nudelsalat;4,74;2,99;0
2018-01-11;Thu;Angebote;Champignon-Blätterteig-Strudel mit Salat;4,34;2,59;1
2018-01-11;Thu;Angebote;Buntes Gemüsecurry mit Steckrüben, Erbsen und Karotten an Gnocchi, dazu Salat;4,61;2,86;2
2018-01-11;Thu;Pasta;Gorgonzola-Spinatsoße;;;0
2018-01-11;Thu;Pasta;Tomatensoße mit Chorizo;;;0
2018-01-11;Thu;Pasta;Hausgemachte Pasta mit Thaipesto;;;2
2018-01-11;Thu;Tagessuppe;Kartoffelsuppe mit Putenwiener;;;0
2018-01-11;Thu;Tagessuppe;Käsesuppe;;;0
2018-01-12;Fri;Angebote;Zelt Burger mit Pommes frites;5,08;3,33;0
2018-01-12;Fri;Angebote;Eier in Senfsoße mit Petersilienkartoffeln und Salat;3,95;2,2;1
2018-01-12;Fri;Angebote;Graupenrisotto mit Gemüse und kleinen Teigtaschen, dazu Salat;4,24;2,49;1
2018-01-12;Fri;Angebote;Kokosmilchreis mit heißen Kirschen;4,14;2,39;2
2018-01-12;Fri;Pasta;Hausgemachte Pasta mit Thaipesto;;;2
2018-01-12;Fri;Pasta;Broccolirahmsoße mit Hirtenkäse;;;1
2018-01-12;Fri;Pasta;Geschnetzeltes Jäger Art;;;0
2018-01-12;Fri;Ofenfrisch;Flammkuchen mit Schmand, Bauchspeck und Lauch;;;0
2018-01-12;Fri;Tagessuppe;Curry-Spinatsuppe;;;0
2018-01-12;Fri;Tagessuppe;Asiatische Gemüsesuppe;;;2
2018-01-15;Mon;Angebote;6-Korn-Putenschnitzel mit Gurken-Apfelquark und Kartoffel-Linsenstampf;4,95;3,2;0
2018-01-15;Mon;Angebote;Quarkfrikadellen mit Schwarzwurzel-Rahmgemüse und Bratkartoffeln;4,42;2,67;0
2018-01-15;Mon;Angebote;Erbsen-Quinoa-Medaillon mit Curry-Joghurt-Dip und Salat;4,2;2,45;2
2018-01-15;Mon;Angebote;Vegetarische Maultaschen mit deftigem Paprikakraut und Salat;;;1
2018-01-15;Mon;Pasta;Hackfleisch-Zucchinisoße;;;0
2018-01-15;Mon;Pasta;Hausgemachte Pasta mit Zucchini-Basilikum-Pesto;;;2
2018-01-15;Mon;Ofenfrisch;Pizza BBQ-Pulled Turkey mit Paprika und Mais;3,76;2,66;0
2018-01-15;Mon;Ofenfrisch;Pizza Toskana mit Paprika, Champignons und Peperoni;3,76;2,66;1
2018-01-15;Mon;Tagessuppe;Gemüsecurry;;;2
2018-01-15;Mon;Tagessuppe;Karotten-Ingwersuppe;;;1
2018-01-16;Tue;Angebote;Gebackenes Seelachsfilet mit Spinat-Käsefüllung, dazu Möhrenrisotto mit Kürbiskernen und Salat;4,85;3,1;0
2018-01-16;Tue;Angebote;Kirsch-Quarkstrudel mit Vanillesoße;3,95;2,2;1
2018-01-16;Tue;Angebote;Zucchini gefüllt mit Gemüse Kräuterpolenta, dazu fruchtige Tomatensoße und Couscous an Salat;4,42;2,67;2
2018-01-16;Tue;Pasta;Tomatensoße mit deftigem Schmorkraut;;;2
2018-01-16;Tue;Pasta;Pastasoße mit Bauchspeck und Spinat;;;0
2018-01-16;Tue;Pasta;Hausgemachte Pasta mit Zucchini-Basilikum-Pesto;;;2
2018-01-16;Tue;Ofenfrisch;Pizza BBQ-Pulled Turkey mit Paprika und Mais;3,76;2,66;0
2018-01-16;Tue;Ofenfrisch;Pizza Toskana mit Paprika, Champignons und Peperoni;3,76;2,66;1
2018-01-16;Tue;Tagessuppe;Kartoffel-Linsensuppe;;;1
2018-01-17;Wed;Angebote;Rindercurry mit Ingwer, Erdnüssen und Mango, dazu gebratene Mie Nudeln;;;0
2018-01-17;Wed;Angebote;Gebratene Hähnchenbrust mit Paprika, Tomaten, Champignons und Hirtenkäse, dazu Kartoffelwaffeln und Salat;4,85;3,1;0
2018-01-17;Wed;Angebote;Illustrierter Kartoffelauflauf mit Salat;4,39;2,64;1
2018-01-17;Wed;Angebote;Szegediner Sojagulasch mit Kartoffelklößen und Salat;4,0;2,25;2
2018-01-17;Wed;Pasta;Gemüsebolognese;;;2
2018-01-17;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-17;Wed;Pasta;Hausgemachte Pasta mit Zucchini-Basilikum-Pesto;;;2
2018-01-17;Wed;Ofenfrisch;Pizza BBQ-Pulled Turkey mit Paprika und Mais;3,76;2,66;0
2018-01-17;Wed;Ofenfrisch;Pizza Toskana mit Paprika, Champignons und Peperoni;3,76;2,66;1
2018-01-17;Wed;Tagessuppe;Karotten-Kokossuppe;;;2
2018-01-17;Wed;Tagessuppe;Steckrüben-Zucchinisuppe;;;1
2018-01-18;Thu;Angebote;Chili con carne Schnitzel mit Pommes frites und Salat;4,74;2,99;0
2018-01-18;Thu;Angebote;Schweineschnitzel Wiener Art mit Pommes frites;3,95;2,2;0
2018-01-18;Thu;Angebote;Rotes Linsencurry mit Naan-Brot und Salat;4,16;2,41;2
2018-01-18;Thu;Pasta;Feurige Käsesoße;;;0
2018-01-18;Thu;Pasta;Wurstgulasch;;;0
2018-01-18;Thu;Pasta;Hausgemachte Pasta mit Zucchini-Basilikum-Pesto;;;2
2018-01-18;Thu;Ofenfrisch;Pizza BBQ-Pulled Turkey mit Paprika und Mais;3,76;2,66;0
2018-01-18;Thu;Ofenfrisch;Pizza Toskana mit Paprika, Champignons und Peperoni;3,76;2,66;1
2018-01-19;Fri;Angebote;Cheeseburger mit Pommes frites;5,08;3,33;0
2018-01-19;Fri;Angebote;Krautnudeln mit Salami und Salat;4,0;2,25;0
2018-01-19;Fri;Angebote;Krautnudeln mit Apfelstreifen, Walnüssen und getrockneten Tomaten;4,0;2,25;2
2018-01-19;Fri;Angebote;Käsespätzle mit Gouda und Salat;4,04;2,29;1
2018-01-19;Fri;Pasta;Pute in fruchtiger Currysoße;;;0
2018-01-19;Fri;Pasta;Hausgemachte Pasta mit Zucchini-Basilikum-Pesto;;;2
2018-01-19;Fri;Pasta;Bohnensugo;;;2
2018-01-19;Fri;Ofenfrisch;Pizza BBQ-Pulled Turkey mit Paprika und Mais;3,76;2,66;0
2018-01-19;Fri;Ofenfrisch;Pizza Toskana mit Paprika, Champignons und Peperoni;3,76;2,66;1
2018-01-22;Mon;Angebote;6-Korn-Putenschnitzel mit Tomatenspaghetti;4,66;2,91;0
2018-01-22;Mon;Angebote;Türkisches Hacksteak mit Hirtenkäse-Raukecreme und Kartoffelkroketten, dazu Salat;4,64;2,89;0
2018-01-22;Mon;Angebote;Linsen-Hirse-Köfte mit Orangen-Sesam-Dip und Salat;3,98;2,23;2
2018-01-22;Mon;Angebote;Falafel mit Couscous, Tortilla-Chips, Joghurt-Dip und Salat;4,0;2,25;1
2018-01-22;Mon;Pasta;Pilz-Auberginensugo;;;2
2018-01-22;Mon;Pasta;Knoblauchsoße mit Hackfleisch und Tomaten;;;0
2018-01-22;Mon;Pasta;Hausgemachte Pasta mit frischem Tomatenpesto;;;2
2018-01-22;Mon;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten, Serranoschinken und gehobeltem Parmesan;;;0
2018-01-22;Mon;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2018-01-22;Mon;Tagessuppe;Kürbissuppe;;;1
2018-01-22;Mon;Tagessuppe;Currysuppe mit Pute;;;0
2018-01-23;Tue;Angebote;Currywurst, dazu Pommes frites;4,3;2,55;0
2018-01-23;Tue;Angebote;Seelachsfilet in Kartoffelpanade an Remouladensoße, dazu Pommes frites und Salat;4,52;2,77;0
2018-01-23;Tue;Angebote;Rucola-Süßkartoffelschnitte auf Kürbis-Tomaten-Lauchgemüse an Möhrensalat mit Apfel;;;2
2018-01-23;Tue;Angebote;Rucola-Süßkartoffelschnitte auf mediterranem Pfannengemüse an Möhrensalat mit Apfel;4,0;2,25;2
2018-01-23;Tue;Angebote;Kartoffeln in Käsesoße mit mediterranem Pfannengemüse und Salat;4,4;2,65;0
2018-01-23;Tue;Pasta;Tomatensoße mit Weißkraut;;;2
2018-01-23;Tue;Pasta;Pastasoße mit Salami und Champignons;;;0
2018-01-23;Tue;Pasta;Hausgemachte Pasta mit frischem Tomatenpesto;;;2
2018-01-23;Tue;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten, Serranoschinken und gehobeltem Parmesan;;;0
2018-01-23;Tue;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2018-01-23;Tue;Tagessuppe;Blumenkohlcremesuppe;;;1
2018-01-23;Tue;Tagessuppe;Mediterrane Tomatensuppe;;;2
2018-01-24;Wed;Angebote;Schweinekrustenbraten mit Kirschrotkohl und Knödel;4,42;2,67;0
2018-01-24;Wed;Angebote;Eibauer Biergulasch mit Silberzwiebeln, Speckrosenkohl und Hefeknödeln;4,42;2,67;0
2018-01-24;Wed;Angebote;Shogok-Tibet. Kartoffelcurry mit Basmati Reis und Salat;4,0;2,25;2
2018-01-24;Wed;Pasta;Quorn-Gulaschsoße;;;1
2018-01-24;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-24;Wed;Pasta;Hausgemachte Pasta mit frischem Tomatenpesto;;;2
2018-01-24;Wed;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten, Serranoschinken und gehobeltem Parmesan;;;0
2018-01-24;Wed;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2018-01-24;Wed;Tagessuppe;Kartoffelsuppe mit Wiener;;;0
2018-01-24;Wed;Tagessuppe;Broccolisuppe;;;2
2018-01-25;Thu;Angebote;Schweineschnitzel mit Zitrone und Pommes frites;4,0;2,25;0
2018-01-25;Thu;Angebote;Schnitzel in Tortilla-Chipspanade mit Tomatensalsa und Pommes frites;4,74;2,99;0
2018-01-25;Thu;Angebote;Champignonpfanne mit Miniklößen, roten Zwiebeln und Creme fraiche, dazu Salat;4,24;2,49;2
2018-01-25;Thu;Pasta;Frischkäsesoße mit Austernpilzen;;;0
2018-01-25;Thu;Pasta;Tomatensoße mit Schinken, Salami, Champignons und Paprika;;;0
2018-01-25;Thu;Pasta;Hausgemachte Pasta mit frischem Tomatenpesto;;;2
2018-01-25;Thu;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten, Serranoschinken und gehobeltem Parmesan;3,76;2,66;0
2018-01-25;Thu;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;3,76;2,66;1
2018-01-25;Thu;Tagessuppe;Kirschrotkohlsuppe;;;0
2018-01-26;Fri;Angebote;Chicken Burger mit Tomate-Mozzarella, Rucola und Basilikummayonnaise, dazu Pommes frites;5,08;3,33;0
2018-01-26;Fri;Angebote;Lammcurry mit Bohnen-Paprikagemüse und Zitronen-Linsencouscous;4,64;2,89;0
2018-01-26;Fri;Angebote;Kaiserschmarrn mit Apfelmus;4,0;2,25;1
2018-01-26;Fri;Pasta;Hausgemachte Pasta mit frischem Tomatenpesto;;;2
2018-01-26;Fri;Pasta;Soße alla sicilliana;;;1
2018-01-26;Fri;Pasta;Gulaschsoße;;;0
2018-01-26;Fri;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;3,76;2,66;1
2018-01-26;Fri;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten, Chorizo und gehobeltem Parmesan;3,76;2,66;0
2018-01-26;Fri;Tagessuppe;Kartoffelcurry;;;2
2018-01-26;Fri;Tagessuppe;Käsesuppe mit Broccoli und Blumenkohl;;;0
2018-01-29;Mon;Angebote;Paella mit Lachs und Hähnchenfleisch, dazu Salat;;;0
2018-01-29;Mon;Angebote;Arabische Paprikaschote mit Rind und Lammhackfleisch (scharf), dazu Couscous und Joghurtsoße mit Minze;4,74;2,99;0
2018-01-29;Mon;Angebote;Kartoffelpuffer Gärtnerin Art mit Apfelmus oder Kräuterquark, dazu Salat;;;1
2018-01-29;Mon;Angebote;Sojagulasch ungarischer Art mit Kräuterkartoffeln und Salat;4,0;2,25;2
2018-01-29;Mon;Pasta;Pastasoße mit Steckrüben und Salbei;;;0
2018-01-29;Mon;Pasta;Tomatensoße mit Schinken und Hackfleisch;;;0
2018-01-29;Mon;Pasta;Hausgemachte Pasta mit Petersilienpesto;;;2
2018-01-29;Mon;Ofenfrisch;Pizza mit Spargel, getrockneten Tomaten und Schmand;3,76;2,66;1
2018-01-29;Mon;Tagessuppe;Champignoncremesuppe;;;1
2018-01-30;Tue;Angebote;Hackfleischfrikadelle mit buntem Gemüse und Pommes frites;4,21;2,46;0
2018-01-30;Tue;Angebote;Seelachsfilet in Eihülle auf Kartoffelpüree, dazu Salat;;;0
2018-01-30;Tue;Angebote;Gemüsecurry mit Basmati Reis und Salat;4,0;2,25;1
2018-01-30;Tue;Pasta;Tomatensoße mit Austernpilzen;;;2
2018-01-30;Tue;Pasta;Carbonara Frankfurter Art;;;0
2018-01-30;Tue;Pasta;Hausgemachte Pasta mit Petersilienpesto;;;2
2018-01-30;Tue;Ofenfrisch;Türkische Pizza mit Rind, Lamm, Tomaten und Zwiebeln;3,76;2,66;0
2018-01-30;Tue;Ofenfrisch;Pizza mit Spargel, getrockneten Tomaten und Schmand;3,76;2,66;1
2018-01-30;Tue;Tagessuppe;Tomatensuppe mit Schinken;;;0
2018-01-30;Tue;Tagessuppe;Erbsencremesuppe;;;1
2018-01-31;Wed;Hähnchenschnitzel auf Wokgemüse mit Mango-Currysoße und Basmati Reis (Auch fleischlos möglich;2,34 €/ 4,09 €);4,69;2,94;0
2018-01-31;Wed;Angebote;Sächsischer Sauerbraten mit Apfelrotkohl und Kartoffelklößen;4,74;2,99;0
2018-01-31;Wed;Angebote;Pastasotto mit Tomaten und Kürbiskernen, dazu Chinaschnitte Hong Kong und Salat;4,0;2,25;2
2018-01-31;Wed;Angebote;Valess Schnitzel mit Kräuterquark, dazu Couscous und Salat;4,85;3,1;1
2018-01-31;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-31;Wed;Pasta;Tomatenratatouille;;;2
2018-01-31;Wed;Pasta;Hausgemachte Pasta mit Petersilienpesto;;;2
2018-01-31;Wed;Ofenfrisch;Pizza mit Spargel, getrockneten Tomaten und Schmand;3,76;2,66;1
2018-01-31;Wed;Tagessuppe;Linseneintopf;;;0
2018-01-31;Wed;Tagessuppe;Asiatische Kokos-Gemüsesuppe;;;1
2018-02-01;Thu;Angebote;Schnitzel in Tortilla-Chipspanade, dazu Erbsen und Pommes frites;4,75;3,0;0
2018-02-01;Thu;Angebote;Schweineschnitzel Wiener Art mit Pommes frites;4,0;2,25;0
2018-02-01;Thu;Angebote;Karotten- Sesam Knusperschnitzel mit Hirtenkäse-Raukecreme (vegetarisch) oder Veta-Raukecreme, (vegan) dazu Kartoffelpüree und Salat;4,17;2,42;1
2018-02-01;Thu;Pasta;Zucchinirahmsoße mit Parmesan;;;1
2018-02-01;Thu;Pasta;Tomatensoße mit Jagdwurst und Schmorkraut;;;0
2018-02-01;Thu;Pasta;Hausgemachte Pasta mit Petersilienpesto;;;2
2018-02-01;Thu;Ofenfrisch;Türkische Pizza mit Rind, Lamm, Tomaten und Zwiebeln;3,76;2,66;0
2018-02-01;Thu;Ofenfrisch;Pizza mit Spargel, getrockneten Tomaten und Schmand;3,76;2,66;1
2018-02-01;Thu;Tagessuppe;Gemüse-Currysuppe;;;1
2018-02-01;Thu;Tagessuppe;Käsesuppe mit Speck;;;0
2018-02-02;Fri;Angebote;Italian Style Burger mit Rindfleisch, Chorizo-Salami, Rucola, Tomaten, roten Zwiebeln und Hirtenkäse-Paprikacreme, dazu Pommes frites;5,08;3,33;0
2018-02-02;Fri;Angebote;Tiegelwurst mit Sauerkraut und Schwenkkartoffeln;4,0;2,25;0
2018-02-02;Fri;Angebote;Süßkartoffel-Kokoscurry mit Gemüsebulgur und Salat;4,26;2,51;2
2018-02-02;Fri;Pasta;Ricotta Spinatsoße;;;1
2018-02-02;Fri;Pasta;Hausgemachte Pasta mit Petersilienpesto;;;2
2018-02-02;Fri;Ofenfrisch;Pizza mit Spargel, getrockneten Tomaten und Schmand;3,76;2,66;1
2018-02-02;Fri;Ofenfrisch;Pizza mit Serranoschinken, Rucola und Tomate;3,76;2,66;0
2018-02-02;Fri;Tagessuppe;Tomatensuppe mit Jagdwurst und Schmorkraut;;;0
2018-02-02;Fri;Tagessuppe;Gemüsecremesuppe;;;0
2018-02-05;Mon;Angebote;Panierte Hähnchenbrust mit buntem Gemüse, dazu Käsesoße und Kartoffelspalten;4,71;2,96;0
2018-02-05;Mon;Angebote;Gebratene Spätzle mit Gemüsestreifen und feuriger Käsesoße, dazu Salat;4,0;2,25;1
2018-02-05;Mon;Angebote;Sojafrikassee wie von Oma mit Kräuterreis und Salat;4,1;2,35;2
2018-02-05;Mon;Pasta;Basilikumsoße mit getrockneten Tomaten;;;1
2018-02-05;Mon;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-05;Mon;Tagessuppe;Scharfe Maiscremesuppe;;;1
2018-02-06;Tue;Angebote;Gebratenes Hokifilet in Ei-Dillhülle mit Balsamicolinsen und Meerrettich-Kartoffelstampf;4,74;2,99;0
2018-02-06;Tue;Angebote;"Veganer eingelegter ""Hering"" (Aubergine) Hausfrauen Art mit Bratkartoffeln und Salat";4,3;2,55;2
2018-02-06;Tue;Pasta;Pastasoße mit Bauchspeck und Kirschtomaten;;;0
2018-02-06;Tue;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-06;Tue;Tagessuppe;Gemüsecremesuppe;;;1
2018-02-07;Wed;Putenbruststreifen mit asiatischem Gemüse und gebratene Mie Nudeln (Auch fleischlos möglich;2,55 €/ 4,30 €);4,9;3,15;0
2018-02-07;Wed;Angebote;Thüringer Rostbrätl mit Bratkartoffeln und Salat;;;0
2018-02-07;Wed;Angebote;Vegane Königsberger Klopse mit Petersilienkartoffeln und Salat;4,41;2,66;2
2018-02-07;Wed;Pasta;Linsencurry;;;1
2018-02-07;Wed;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-07;Wed;Ofenfrisch;Pizza Kapstadt mit Wiener, Gewürzgurke und Röstzwiebeln;3,76;2,66;0
2018-02-07;Wed;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten und gehobelten Parmesan;3,76;2,66;1
2018-02-07;Wed;Tagessuppe;Kesselgulasch;;;0
2018-02-08;Thu;Angebote;Schweineschnitzel Wiener Art mit Pommes frites;4,0;2,25;0
2018-02-08;Thu;Angebote;Schnitzel mit Kräuter-Parmesanpanade, dazu scharfe Tomatensalsa, Pommes frites und Salat;4,74;2,99;0
2018-02-08;Thu;Angebote;Oma kocht vegan! - Seitangulasch nach Oma's Art mit Apfelrotkohl und Kartoffeln;4,31;2,56;2
2018-02-08;Thu;Pasta;Pastasoße mit Champignons und Wirsing;;;2
2018-02-08;Thu;Pasta;Pusztasoße;;;0
2018-02-08;Thu;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-08;Thu;Ofenfrisch;Pizza Kapstadt mit Wiener, Gewürzgurke und Röstzwiebeln;3,76;2,66;0
2018-02-08;Thu;Ofenfrisch;Pizza Bruscetta mit Rucola, marinierten Tomaten und gehobelten Parmesan;3,76;2,66;1
2018-02-08;Thu;Tagessuppe;Spargelcremesuppe;;;1
2018-02-09;Fri;Angebote;Burger mit Angus-Patty, roter Zwiebel, Tomate, Gurke, Salat und würziger Burgersoße, dazu Pommes frites;6,19;4,44;0
2018-02-09;Fri;Angebote;Tafelspitz in einer Meerrettichsoße, dazu Fingermöhren und Schwenkkartoffeln;4,74;2,99;0
2018-02-09;Fri;Angebote;Oma kocht vegan! - Kartoffeln mit Soja-Kräuterquark und veganer Leberwurst;3,9;2,15;2
2018-02-09;Fri;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-09;Fri;Pasta;Grüne Paprikasoße;;;1
2018-02-09;Fri;Tagessuppe;Linseneintopf mit Wiener;;;0
2018-02-12;Mon;Angebote;Putenschnitzel Piccata Milanese mit pikanter Tomatensalsa und Kartoffelkroketten, dazu Salat;4,85;3,1;0
2018-02-12;Mon;Angebote;Griechische Hackfleischpfanne mit Fladenbrot und Salat;4,54;2,79;0
2018-02-12;Mon;Angebote;Zucchini im Cornflakesmantel auf fruchtiger Tomatensoße, dazu Currykartoffeln und Salat;4,31;2,56;2
2018-02-12;Mon;Pasta;Pilzsoße;;;1
2018-02-12;Mon;Pasta;Hackfleischsugo;;;0
2018-02-12;Mon;Pasta;Hausgemachte Pasta mit Bärlauchpesto und Rucola;;;2
2018-02-12;Mon;Ofenfrisch;Gefülltes Handbrot mit Champignons, Paprika und Käse, dazu Frischkäse-Kräuter-Dip;3,76;2,66;1
2018-02-12;Mon;Tagessuppe;Erbsencremesuppe;;;1
2018-02-13;Tue;Angebote;Seelachsfilet in Knusperpanade mit Petersilien-Zitronenstampf und Salat;4,74;2,99;0
2018-02-13;Tue;Angebote;Feuerfleisch vom Rind mit Erbsen und Semmelknödel;4,63;2,88;0
2018-02-13;Tue;Angebote;Austernpilzschnitzelchen an Kräuter-Dip, dazu Schwenkkartoffeln und Salat;4,63;2,88;1
2018-02-13;Tue;Angebote;Chili sin carne mit Kräuterreis und Salat;3,95;2,2;2
2018-02-13;Tue;Pasta;Tomatensoße mit Hirtenkäse;;;1
2018-02-13;Tue;Pasta;Pastasoße Arrabiata;;;0
2018-02-13;Tue;Pasta;Hausgemachte Pasta mit Kressepesto;;;2
